タイトル,品別国別表,,,,,,,,,
輸出入,輸出,,,,,,,,,
年月,2018年全期,,,,,,,,,
品目,品目範囲指定,25-40,,,,,,,,
品目,品目範囲指定,54-59,,,,,,,,
品目,品目コード指定,63,,,,,,,,
品目,品目範囲指定,68-93,,,,,,,,
品目,品目コード指定,95,,,,,,,,
国,国参照指定,103,大韓民国,,,,,,,
単位:(1000円),,,,,,,,,,
Source:,http://www.customs.go.jp/toukei/srch/index.htm?M=01&P=0,,,,,,,,,
,,,,,,,,,,
品目,国,国名,第１単位,第２単位,当月第１数量,当月第２数量,当月金額,累計第１数量,累計第２数量,累計金額
2501.00-000,103,大韓民国,,MT,,,,,303,53310
2503.00-000,103,大韓民国,,MT,,,,,26789,763933
2504.10-000,103,大韓民国,,MT,,,,,161,424692
2504.90-000,103,大韓民国,,MT,,,,,0,334
2505.90-000,103,大韓民国,,MT,,,,,2,306
2506.10-000,103,大韓民国,,MT,,,,,0,248
2506.20-000,103,大韓民国,,MT,,,,,16,2536
2507.00-000,103,大韓民国,,MT,,,,,623,83504
2508.10-000,103,大韓民国,,MT,,,,,269,104447
2508.40-000,103,大韓民国,,MT,,,,,79,6742
2508.60-000,103,大韓民国,,MT,,,,,1004,104931
2508.70-000,103,大韓民国,,MT,,,,,15,2190
2509.00-000,103,大韓民国,,MT,,,,,859,35760
2512.00-000,103,大韓民国,,MT,,,,,272,32449
2513.10-100,103,大韓民国,,KG,,,,,20229657,619926
2513.10-900,103,大韓民国,,KG,,,,,454657,19628
2514.00-000,103,大韓民国,,MT,,,,,60,6124
2516.20-000,103,大韓民国,,MT,,,,,4,719
2516.90-000,103,大韓民国,,MT,,,,,3,639
2517.49-000,103,大韓民国,,MT,,,,,773,48057
2518.10-000,103,大韓民国,,MT,,,,,980,8831
2518.20-000,103,大韓民国,,MT,,,,,19,885
2519.90-110,103,大韓民国,,KG,,,,,11244030,889245
2519.90-190,103,大韓民国,,KG,,,,,2420140,555630
2519.90-900,103,大韓民国,,MT,,,,,12,3518
2520.10-000,103,大韓民国,,MT,,,,,2511,6492
2520.20-000,103,大韓民国,,MT,,,,,338,49771
2521.00-000,103,大韓民国,,MT,,,,,1530470,2149718
2522.10-000,103,大韓民国,,MT,,,,,3521,110686
2522.20-000,103,大韓民国,,MT,,,,,1074,97372
2523.21-000,103,大韓民国,,MT,,,,,389,25232
2523.29-000,103,大韓民国,,MT,,,,,690632,2241252
2523.30-000,103,大韓民国,,MT,,,,,634,93668
2523.90-000,103,大韓民国,,MT,,,,,100,6360
2525.20-000,103,大韓民国,,MT,,,,,195,165310
2526.10-000,103,大韓民国,,MT,,,,,20,3848
2526.20-000,103,大韓民国,,MT,,,,,478,96572
2530.90-000,103,大韓民国,,MT,,,,,3094,167682
2608.00-000,103,大韓民国,,MT,,,,,1153,138524
2610.00-000,103,大韓民国,,MT,,,,,30,4650
2613.10-000,103,大韓民国,,MT,,,,,7,9311
2616.90-000,103,大韓民国,,MT,,,,,0,360
2617.90-000,103,大韓民国,,MT,,,,,0,699
2618.00-000,103,大韓民国,,MT,,,,,1044666,869977
2619.00-000,103,大韓民国,,MT,,,,,22258,53883
2620.19-000,103,大韓民国,,MT,,,,,14766,730687
2620.29-000,103,大韓民国,,MT,,,,,6565,202420
2620.30-000,103,大韓民国,,MT,,,,,174,36697
2620.40-000,103,大韓民国,,MT,,,,,2055,54749
2620.99-000,103,大韓民国,,MT,,,,,25281,643666
2621.90-000,103,大韓民国,,MT,,,,,147521,49422
2701.19-000,103,大韓民国,,MT,,,,,27560,317769
2704.00-000,103,大韓民国,,MT,,,,,67644,1972839
2706.00-000,103,大韓民国,,KG,,,,,2997039,70611
2707.10-000,103,大韓民国,,KG,,,,,2999992,266754
2707.20-000,103,大韓民国,,KG,,,,,41057308,2720128
2707.30-000,103,大韓民国,,KG,,,,,1236104271,107031917
2707.40-000,103,大韓民国,,KG,,,,,5793649,375221
2707.50-000,103,大韓民国,,KG,,,,,361101160,23208341
2707.99-000,103,大韓民国,,KG,,,,,32882709,1860325
2708.10-000,103,大韓民国,,MT,,,,,1,403
2708.20-000,103,大韓民国,,MT,,,,,7655,674454
