Source 1:,https://www.meti.go.jp/policy/anpo/law_document/tutatu/t07sonota/t07sonota_kanzeiteiritu.pdf
Source 2:,http://www.customs.go.jp/toukei/srch/index.htm?M=01&P=0
,
,
,
,
,
,
,
類,累計金額
第２５類 塩、硫黄、土石類、プラスター、石灰及びセメント,8982547
第２６類 鉱石、スラグ及び灰,2795045
第２７類 鉱物性燃料及び鉱物油並びにこれらの蒸留物、歴青物質並びに鉱物性ろう,341265032
第２８類 無機化学品及び貴金属、希土類金属、放射性元素又は同位元素の無機又は有機の化合物,125062194
第２９類 有機化学品,308253203
第３０類 医療用品,35688220
第３１類 肥料,1603435
第３２類 なめしエキス、染色エキス、タンニン及びその誘導体、染料、顔料その他の着色料、ペイント、ワニス、パテその他のマスチック並びにインキ,95874359
第３３類 精油、レジノイド、調製香料及び化粧品類,60733554
第３４類 せつけん、有機界面活性剤、洗剤、調製潤滑剤、人造ろう、調製ろう、磨き剤、ろうそくその他これに類する物品、モデリングペースト、歯科用ワックス及びプラスターをもととした歯科用の調製品,35365533
第３５類 たんぱく系物質、変性でん粉、膠着剤及び酵素,13212544
第３６類 火薬類、火工品、マッチ、発火性合金及び調製燃料,221997
第３７類 写真用又は映画用の材料,70304912
第３８類 各種の化学工業生産品,244574064
第３９類 プラスチック及びその製品,328787135
第４０類 ゴム及びその製品,34548152
第５４類 人造繊維の長繊維並びに人造繊維の織物及びストリップその他これに類する人造繊維製品,10471315
第５５類 人造繊維の短繊維及びその織物,1679277
第５６類 ウォッディング、フェルト、不織布及び特殊糸並びにひも、綱及びケーブル並びにこれらの製品,10098259
第５７類 じゆうたんその他の紡織用繊維の床用敷物,73802
第５８類 特殊織物、タフテッド織物類、レース、つづれ織物、トリミング及びししゆう布,779892
第５９類 染み込ませ、塗布し、被覆し又は積層した紡織用繊維の織物類及び工業用の紡織用繊維製品,4390186
第６３類 紡織用繊維のその他の製品、セット、中古の衣類、紡織用繊維の中古の物品及びぼろ,2506699
第６８類 石、プラスター、セメント、石綿、雲母その他これらに類する材料の製品,21677204
第６９類 陶磁製品,18205978
第７０類 ガラス及びその製品,56167470
第７１類 天然又は養殖の真珠、貴石、半貴石、貴金属及び貴金属を張つた金属並びにこれらの製品、身辺用模造細貨類並びに貨幣,28627021
第７２類 鉄鋼,590740206
第７３類 鉄鋼製品,81435190
第７４類 銅及びその製品,58476176
第７５類 ニッケル及びその製品,19903672
第７６類 アルミニウム及びその製品（,33064037
第７８類 鉛及びその製品,641657
第７９類 亜鉛及びその製品,108565
第８０類 すず及びその製品,782043
第８１類 その他の卑金属及びサーメット並びにこれらの製品,10594940
第８２類 卑金属製の工具、道具、刃物、スプーン及びフォーク並びにこれらの部分品,26950452
第８３類 各種の卑金属製品,4058361
第８４類 原子炉、ボイラー及び機械類並びにこれらの部分品,1300386629
第８５類 電気機器及びその部分品並びに録音機、音声再生機並びにテレビジョンの映像及び音声の記録用又は再生用の機器並びにこれらの部分品及び附属品,716800905
第８６類 鉄道用又は軌道用の機関車及び車両並びにこれらの部分品、鉄道又は軌道の線路用装備品及びその部分品並びに機械式交通信号用機器（電気機械式のものを含む。）,1232280
第８７類 鉄道用及び軌道用以外の車両並びにその部分品及び附属品,161658175
第８８類 航空機及び宇宙飛行体並びにこれらの部分品,1395111
第８９類 船舶及び浮き構造物,6760347
第９０類 光学機器、写真用機器、映画用機器、測定機器、検査機器、精密機器及び医療用機器並びにこれらの部分品及び附属品,463653406
第９１類 時計及びその部分品,1327850
第９２類 楽器並びにその部分品及び附属品,2365841
第９３類 武器及び銃砲弾並びにこれらの部分品及び附属品,10194
第９５類 がん具、遊戯用具及び運動用具並びにこれらの部分品及び附属品,39610687
