Source : 日本民営鉄道協会　駅と電車内の迷惑行為ランキング,https://www.mintetsu.or.jp/activity/enquete/index.html,,
File URl:,https://github.com/ggcurrs/data/blob/master/mintetsu-enquete.csv,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
YEAR,ITEM,CATEGORY(by GGCS),PERCENT
YR2000,携帯電話の使用,スマホ・ゲーム等,25.9 
YR2000,座席の座り方,座席の座り方,8.9 
YR2000,荷物の持ち方・置き方,荷物の持ち方・置き方,7.5 
YR2000,たばこについて,喫煙,6.6 
YR2000,環境美化に努めない人が多い,環境美化に努めない,6.3 
YR2000,所構わず座りこむ,所構わず座りこむ,6.1 
YR2000,電車内で騒ぐ,騒々しい会話・はしゃぎまわり等,4.8 
YR2000,乗降時のマナーが悪い,乗降時のマナーが悪い,4.5 
YR2000,女性の化粧,車内での化粧,1.8 
YR2000,へッドホンステレオの音漏れ,へッドホンステレオの音漏れ,1.4 
YR2001,携帯電話の使用,スマホ・ゲーム等,32.5 
YR2001,座席の座り方,座席の座り方,16.4 
YR2001,所構わず座りこむ,所構わず座りこむ,9.7 
YR2001,たばこについて,喫煙,6.6 
YR2001,乗降時のマナーが悪い,乗降時のマナーが悪い,6.5 
YR2001,荷物の持ち方・置き方,荷物の持ち方・置き方,5.8 
YR2001,電車内で騒ぐ,騒々しい会話・はしゃぎまわり等,5.8 
YR2001,環境美化に努めない人が多い,環境美化に努めない,4.3 
YR2001,女性の化粧,車内での化粧,2.9 
YR2001,へッドホンステレオの音漏れ,へッドホンステレオの音漏れ,1.5 
YR2002,携帯電話の使用,スマホ・ゲーム等,34.2 
YR2002,座席の座り方,座席の座り方,15.9 
YR2002,電車内で騒ぐ,騒々しい会話・はしゃぎまわり等,7.3 
YR2002,たばこについて,喫煙,6.8 
YR2002,所構わず座りこむ,所構わず座りこむ,6.7 
YR2002,乗降時のマナーが悪い,乗降時のマナーが悪い,6.7 
YR2002,荷物の持ち方・置き方,荷物の持ち方・置き方,6.4 
YR2002,女性の化粧,車内での化粧,3.7 
YR2002,環境美化に努めない人が多い,環境美化に努めない,3.5 
YR2002,へッドホンステレオの音漏れ,へッドホンステレオの音漏れ,1.6 
YR2003,携帯電話の使用,スマホ・ゲーム等,25.0 
YR2003,座席の座り方,座席の座り方,22.4 
YR2003,所構わず座りこむ,所構わず座りこむ,7.8 
YR2003,電車内で騒ぐ,騒々しい会話・はしゃぎまわり等,7.6 
YR2003,乗降時のマナーが悪い,乗降時のマナーが悪い,7.1 
YR2003,女性の化粧,車内での化粧,7.1 
YR2003,たばこについて,喫煙,6.0 
YR2003,へッドホンステレオの音漏れ,へッドホンステレオの音漏れ,5.7 
YR2003,荷物の持ち方・置き方,荷物の持ち方・置き方,4.9 
YR2003,車内等での飲食,車内等での飲食,2.0 
YR2003,環境美化に努めない人が多い,環境美化に努めない,1.6 
YR2004,座席の座り方,座席の座り方,24.8 
YR2004,携帯電話の使用,スマホ・ゲーム等,19.9 
YR2004,乗降時のマナーが悪い,乗降時のマナーが悪い,8.6 
YR2004,所構わず座りこむ,所構わず座りこむ,8.1 
YR2004,電車内で騒ぐ,騒々しい会話・はしゃぎまわり等,7.0 
YR2004,へッドホンステレオの音漏れ,へッドホンステレオの音漏れ,6.1 
YR2004,女性の化粧,車内での化粧,5.1 
YR2004,荷物の持ち方・置き方,荷物の持ち方・置き方,4.9 
YR2004,たばこについて,喫煙,4.7 
YR2004,車内等での飲食,車内等での飲食,4.0 
YR2004,環境美化に努めない人が多い,環境美化に努めない,2.5 
YR2005,座席の座り方,座席の座り方,12.6 
